;text;fallacy
109;My contribution to the Red Cross won't solve the problem of world hunger, so it won't do any good. I won't bother to make a contribution at all.;false dilemma
110;Vote for me or live through four more years of higher taxes.;false dilemma
111;Donate to my campaign if you care about the future.;false dilemma
112;If you want our country to be safe, we must increase military spending.;false dilemma
113;Either we let every immigrant into our country, or we close the borders for everyone.;false dilemma
114;If you don't use our beauty products, you'll never look youthful.;false dilemma
115;You can look cool in our clothes, or you can look like a loser.;false dilemma
116;Do you want to drink our beer or our competitor's unhealthy, watered-down beer?;false dilemma
117;Subscribe to our streaming service or be stuck with cable.;false dilemma
118;You can either eat at this restaurant or have a sad TV dinner alone.;false dilemma
119;Would you rather pursue your passion or be stuck in a 9-to-5 job?;false dilemma
120;Would you rather invest in your future or enjoy your money now?;false dilemma
121;You can either get married or be alone for the rest of your life.;false dilemma
122;You're either for the war or against the troops.;false dilemma
123;Roger opposed an atheistic argument against Christianity, so he must be a Christian.;false dilemma
124;I thought you cared about other people, but I didn't see you at the fundraiser for the Harris Family.;false dilemma
125;Drink water every day and be healthy, or continue to drink sodas and be unhealthy. ;false dilemma
126;You either support Hillary Clinton for President or you don't believe in women's rights.;false dilemma
127;The animal shelter is a place that values animal rights and never euthanizes animals, or the animal shelter is a place that kills innocent animals.';false dilemma
128;You either like kids or you don't.;false dilemma
129;If we don't reduce public spending, our economy will collapse.;false dilemma
130;Either medicine can explain how Ms. X was cured, or it is a miracle.;false dilemma
131;The universe could not have been created from nothing, so it must have been created by an intelligent life force.;false dilemma
132;Annie must like Starbucks because all white girls like Starbucks.;faulty generalization
133;A driver with a New York license plate cuts you off in traffic. You decide that all New York drivers are terrible drivers.;faulty generalization
134;No one in your family surfs? But I thought you said you lived in California before this.;faulty generalization
135;All women are bad drivers.;faulty generalization
136;You visit a new country and the first person you meet in the airport is rude. You send a message to a friend back home that everyone in this new country is rude.;faulty generalization
137;Kevin's grandparents do not know how to use a computer. Kevin thinks that all older people must be computer illiterate.;faulty generalization
138;MeowMeowTweet is American-made skincare. I used it, and it gave me zits. American-made skincare gives people acne.;faulty generalization
139;People from big cities are not as friendly as those from small towns.;faulty generalization
140;That type of car is poorly made. A friend of mine has one, and it continually gives him trouble.;faulty generalization
141;I was just on the phone with a Southerner, and I could barely keep up! All Southerners talk fast.;faulty generalization
142;I have several female friends and every one of them loves country music. All females love country music.;faulty generalization
143;I can't understand why people are complaining that it's difficult to find a job in this job market. My daughter and I got jobs without any trouble.;faulty generalization
144;On my walk to work this morning, a woman on her bike nearly ran me off the sidewalk. I hadn't realized that cyclists were so aggressive and rude!;faulty generalization
145;All of those who hate the Duterte administration are CPP-NPA supporters.;faulty generalization
146;Mrs. Miller taught your older brother, who was the class clown. She decides to be strict with you from the very first day of class because she thinks you will be a clown, too.;faulty generalization
147;You shouldn't go to 'Vomito'. I went once and the food was awful.;faulty generalization
148;My roommate from Maine loves lobsters, therefore all people from Maine love lobsters.;faulty generalization
149;The spider that bit was poison, therefore all spiders are poison.;faulty generalization
150;The child did not do his chores so therefore all children are lazy.;faulty generalization
151;Alissa has class with a football player who is a class clown. He disrupts the class and is failing. Alissa decides all football players are not serious students.;faulty generalization
152;Fred, the German, stole my wallet. Therefore, all Germans are thieves.;faulty generalization
153;All people who live in England have bad teeth.;faulty generalization
154;Look at people like Michael Vick and OJ Simpson. Professional athletes really have no sense of morality.;faulty generalization
155;My dog got sprayed by a skunk this morning on the trail therefore, trail running is dangerous.;faulty generalization
156;My parents are vegetarians, and they are good people. Therefore, all vegetarians must be good people.;faulty generalization
157;Fred, the Australian, stole my wallet. Thus, all Australians are thieves.;faulty generalization
158;Asians make lousy athletes, but do well at the Math Olympiad.;faulty generalization
159;White men can't jump. No, really, they can't!;faulty generalization
160;My father smoked four packs of cigarettes a day since age fourteen and lived until age sixty-nine. Therefore, smoking really can't be that bad for you.;faulty generalization
161;We need to stop allowing colleges to increase tuition every year. The next thing we know, it's going to cost more to attend college for one semester than it is to buy a new home!;faulty generalization
162;You should never gamble. Once you start gambling you find it hard to stop. Soon you are spending all your money on gambling, and eventually you will turn to crime to support your earnings.;faulty generalization
163;If you don't study, you'll fail your test. Then you will do poorly in the class and you GPA will fall. You won't get into a good college, so you'll never get a decent job and you'll end up poor and homeless.;faulty generalization
164;Yesterday you were 5 minutes late, today 10, and tomorrow you won't even show up!;faulty generalization
165;"""Our planet is going to be destroyed! People are creating too much waste, the temperature will continue to rise, natural disasters will occur more frequently, the animals will starve to death, and the planet will basically turn into Venus!""";faulty generalization
166;If I don't take the right classes in high school, then I won't be able to get into a good college. If I don't get into a good college, then I won't be able to get a job. If I can't get a job, then I am going to end up homeless.;faulty generalization
167;"""We can't allow students to be paid for their grade because next thing you know they'll expect to be paid just for waking up in the morning.""";faulty generalization
168;Victor, the company you work for just filed for bankruptcy! How can I trust you with our money?;faulty generalization
169;Don't use iPhones. Teachers use iPhones and teachers are extremely dorky. If you use an iPhone, you will be dorky like a teacher!;faulty generalization
170;Did you really vote for Donald as class treasurer? Didn't you hear that his uncle was imprisoned for embezzling $1.5 million?;faulty generalization
171;Eugene is silly in class. Harry is his friend, so Harry must be silly, too.;faulty generalization
172;Men score better on math than women do. Jerry is a man. Therefore, Jerry is better at math than Sylvia, who is a woman.;faulty generalization
173;President Petutti ordered a military strike that killed many civilians. He is no different than any other mass murder and he belongs in prison!;faulty generalization
174;A person hanging out in a bar will be an alcoholic;faulty generalization
175;Daniel was a precocious child and had a liking for logic. He reasoned that atoms are invisible, and that he was made of atoms and therefore invisible too. Unfortunately, despite his thinky skills, he lost the game of hide and go seek.;faulty generalization
176;There are so many experiences in the human realm that are wonderful. Sexual intimacy between two willing adults who love each other is wonderful. A therapist helping a client is wonderful. When the relationship between a therapist and client is so deep that it could be characterized as love, it's wonderful. When all these acts become part of one process between two people, it must be exceptionally wonderful. How could anyone condemn such a wonderfully human process as unethical?;faulty generalization
177;A car makes less pollution than a bus. Therefore, cars are less of a pollution problem than buses;faulty generalization
178;If I make an exception for you then I'll have to make an exception for everyone;faulty generalization
179;If we get rid of assault weapons for citizens then we will also soon lose freedom of speech and all freedoms as other countries rush in to conquer us (if the zombies don't exterminate us first!);faulty generalization
180;If you forget to floss, you will get cavities, and if you get cavities, you will lose all your teeth by the time you're 30.;faulty generalization
181;I saw John texting yesterday, and then he got in his car and drove away he must have crashed because he was texting. Therefore, cell phones should be banned.;false cause
182;Some students failed a test last week and they all had cell phones.  Having cell phones, therefore, made them fail.;false cause
183;A rainbow appeared in the sky the day before basketball tryouts, and I made the team! If there's a rainbow when I try out in the spring, I'm sure I'll make the team again.;false cause
184;Siblings Dan and Joe had a serious argument, and Dan told Joe that he hated him and wished that he would get hit by a car. Two days later, Dan was told that Joe had been struck by a car. Dan blamed himself and thought that if he hadn't made the comment during their fight, Joe would not have been hit.;false cause
185;Last year, the city of Brookfield allocated more money to public parks. This year, however, littering increased, so the increase in park funding must have been responsible.;false cause
186;Every time I go to sleep, the sun goes down. Therefore, my going to sleep causes the sun to set.;false cause
187;Since Lucy Sutton became vice president of the parent-teacher association, student performance has declined and teacher morale is down. We on the school board believe that Sutton bears sole responsibility for the downtrend.;false cause
188;You oversleep and then fail a test so you assume that oversleeping causes you to fail tests;false cause
189;Your sister broke her arm, and then you broke your nose. So you assume that a sibling breaking a bone causes you to break one too.;false cause
190;My grandmother ate 10 cloves of raw garlic every day. Not surprisingly she lived to be 102.;false cause
191;The economy continues to grow as the number of likes on my Instagram account continue to increase. Clearly, the two are linked.;false cause
192;Tommy went to go swimming for the afternoon and later bought a lottery ticket. He won the lottery which must mean that swimming makes you win the lottery.;false cause
193;Kevin's dog scratched his leg, and that night he had a fever. Kevin concluded that his dog must have infected him with something.;false cause
194;Our soccer team was losing until I bought new shoes. We have not lost a game since I got my lucky shoes!;false cause
195;She took a drink from the drinking fountain yesterday and now she's sick. It must have been the public fountain that made her sick.;false cause
196;I broke a mirror earlier in the day, and then I received an F on my history final. Therefore, I received the F because I broke the mirror.;false cause
197;Our house was burglarized right after that new family moved in next door. Therefore, that new family must have been involved.;false cause
198;Every day, I eat cereal for breakfast. One time, I had a muffin instead, and there was a major earthquake in my city. I've eaten cereal ever since.;false cause
199;Every time that rooster crows, the sun comes up. The rooster must control the sun.;false cause
200;Since Samantha got that new apron, she hasn't burned any cookies. That new apron sure does help her cooking!;false cause
201;The party was going great! Then Gerald showed up and little by little people started collecting their coats and heading home. Gerald ruined the party.;false cause
202;My brother received the COVID-19 vaccine and then had diarrhea for a week. The vaccine is the reason my brother's bowels came undone.;false cause
203;During the early 2000s, the search for a cause of autism led to vaccines, though no scientific link has been found between the administration of vaccines and the onset of autism. The time that children are vaccinated and the time they're diagnosed do closely correlate, however, leading upset parents to assign blame to the immunizations, for lack of a better explanation.;false cause
204;If the country is ever going to be safe from terrorists we have to close the borders.;false cause
205;Farmer McDonald: Ever since they put up that new power plant across the river, we haven't had a bit of rain. I'm tellin' you, mankind has got too big for its britches when it fiddles around with nature.;false cause
206;I ate Oreos, and then I was sick the next day. It must have been the Oreos that caused my sickness.;false cause
207;Joey's refrigerator broke after Rachel moved in therefore, Rachel caused Joey's refrigerator to break.;false cause
208;I passed my math test after going out to the movies the night before. I should go to the movies the night before every math test!;false cause
209;Every girl I've dated has been a nurse. I must only be compatible with nurses!;false cause
210;Global chocolate consumption is highest in Switzerland, yet people there are among the trimmest in the industrialized world.  therefore, it's reasonable to conclude that chocolate helps keep your weight down.;false cause
211;Jason and his family are heading to Utah to spend a week skiing. Looking at the weather reports, he notices that it is supposed to be warmer, making for lousy ski conditions. Angrily, he calls the Weather Channel and demands that they change their forecast so he will have better weather for the trip.;false cause
212;The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money. Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.;false cause
213;Eating five candy bars and drinking two sodas before a test helps me get better grades. I did that and got an A on my last test in history.;false cause
214;I sneezed at the same time the power went off. My sneeze did something to make the power go off.;false cause
215;I bought new shoes then my head started itching. I must be allergic to the shoes.;false cause
216;Fatima sneezed and she caused a tsunami in Tokyo.;false cause
217;Jack threw up because he ate Hot Cheetos.;false cause
218;I dropped the ball because Mercury is in retrograde.;false cause
219;Every severe recession follows a Republican Presidency therefore Republicans are the cause of recessions.;false cause
220;The Soviet Union collapsed after taking up atheism. Therefore, we must avoid atheism for the same reasons.;false cause
221;Families communicate less and less in the past forty years since feminism became mainstream. Feminism is to blame for this deterioration in the family.;false cause
222;Valencia bought a different brand of detergent at the store. She developed a rash after wearing clothes washed in the new detergent. She concluded that she was allergic to the new soap. What type of reasoning is this?;false cause
223;Michael Jackson, Kurt Cobain, and Jimi Hendrix were rock stars who died young. Therefore, if you become a rock star, don't expect to live a long life.;false cause
224;There are more laws on the books than ever before, and more crimes are being committed than ever before. Therefore, to reduce crime, we must eliminate the laws.;false cause
225;Our garage sale made lots of money before Joan showed up. Obviously, she scared off all the customers.;false cause
226;"My new sport psychology intervention works! I chose the player with the lowest batting average based on the last game from each of the teams in our amateur baseball league. Then I gave each of them my 5-minute intervention. And almost all of them improved their batting average in the next game!"" (Note: this example may also involve the statistical phenomenon of regression to the mean.";false cause
227;Students are poor writers because they watch too much TV;false cause
228;The picture on Jim's old TV set goes out of focus. Jim goes over and strikes the TV soundly on the side and the picture goes back into focus. Jim tells his friend that hitting the TV fixed it.;false cause
229;My new way of obtaining informed consent helps prevent dropouts. I chose the three therapists in our clinic who had the highest dropout rates and taught them my new informed consent procedure. The first month that they started using it, all three had significantly lower dropout rates.;false cause
230;Joe eats horribly therefore, his heart attack was caused by his eating habits.;false cause
231;America is the best place to live, because it's better than any other country.;circular reasoning
232;Quinoa is a delicious, plant-based source of protein because it tastes so darn good.;circular reasoning
233;President Reagan was a great communicator because he had the knack of talking effectively to the people.;circular reasoning
234;Plagiarism is deceitful because it is dishonest.;circular reasoning
235;The witchcraft problem is the most urgent spiritual crisis in the world today. Why? Because witches threaten our very souls.;circular reasoning
236;The word of Zorbo the Great is flawless and perfect. We know this because it says so in The Great and Infallible Book of Zorbo's Best and Most Truest Things that are Definitely True and Should Not Ever Be Questioned.;circular reasoning
237;Cell phones stop students from concentrating in class because they are distracting.;circular reasoning
238;How do I know that Beth is the most intelligent person in our geometry class? I know because she's so smart.;circular reasoning
239;Pamela never lies. She told me herself, so it must be true.;circular reasoning
240;Thanks to her enduring popularity with employees, Ella Watson is the best-liked CEO in our company's history.;circular reasoning
241;The number of pirates in existence decreased as the global average temperature rose. Therefore, we can conclude that hotter weather reduces piracy.;circular reasoning
242;Companies that make huge profits must be exploiting their customers because the only way a company could make large profits is by taking advantage of their customers.;circular reasoning
243;That restaurant is popular because everyone in town goes there.;circular reasoning
244;Sleeping until noon is the worst thing to do because it is bad to sleep late.;circular reasoning
245;The greatest thing that we can do is to love each other. Love is better than any other emotion.;circular reasoning
246;I am athletic because I run, and I run because I'm athletic.;circular reasoning
247;Whatever is less dense than water will float, because such objects won't sink in water.;circular reasoning
248;Andanar is unfit for the position because he seems unqualified for it.;circular reasoning
249;Shakira is the best singer in the world because she is the most talented singer there is.;circular reasoning
250;There aren't enough parking spaces on campus because there are too many cars.;circular reasoning
251;Only a mentally ill person would kill someone, so anyone who kills someone is automatically mentally ill.;circular reasoning
252;Ralph Nader and Pat Buchanan are banging at the doors, and the political establishment, consisting of both politicians and the media, seems determined not to let them in on the grounds that they have no public support.;circular reasoning
253;It says in the Bible that God exists. Since the Bible is God's word, and God never speaks falsely, then everything in the Bible must be true. So, God must exist.;circular reasoning
254;smoking cigarettes is deadly because cigarettes can kill you;circular reasoning
255;I deserve to have a later curfew, so you should let me stay out until 10pm!;circular reasoning
256;Paranormal activity is real because I have experienced what can only be described as paranormal activity.;circular reasoning
257;I hated the movie because it was the worst movie I ever saw.;circular reasoning
258;"""All eighteen-year-olds have the right to vote because it's legal for them to vote.""";circular reasoning
259;"""The Philippines is in poverty because of poor people.""";circular reasoning
260;"""The Cardinals are the best football team because they're better than all the other teams.""";circular reasoning
261;"""Everyone should like coffee: 95% of teachers do!""";bandwagon
262;I guess I should buy my 12-year-old daughter an iPhone. Everyone at her new school has one and I want her to fit in with the other kids.;bandwagon
263;I know the professor said the Bridges of Madison County was smarmy trash and lacked any artistic worth. But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks.;bandwagon
264;"""Because everybody thinks this way, it must be right.""";bandwagon
265;Everyone seems to support the changes in the vacation policy, and if everyone likes them, they must be;bandwagon
266;I am voting for Smith for President because the rest of my family is voting for him.;bandwagon
267;Everybody else is doing it, why don't you?;bandwagon
268;Come on! Everyone else thinks the movie is great - you should too!;bandwagon
269;The new iPhone comes out this weekend! If you don't get it, you're not cool!;bandwagon
270;Since many people believe this, then it must be true;bandwagon
271;Katie likes to read and would rather do that than play sports. Her friends make fun of her and tell her that reading is for nerds. Katie stops reading so much and starts to play sports more.;bandwagon
272;Royal's promoting their team for the next season by telling people to come join the team because everyone else has.;bandwagon
273;Marie notices that many of her friends have started eating a low-carb diet and drinking protein shakes. Marie decides that if this many friends are eating this way that this must be the healthy way to eat so she joins them. This is an example of which logical fallacy?;bandwagon
274;Cathy is opposed to social media because she would rather have a face-to-face conversation. However, more and more of Cathy's friends have joined social media sites, so Cathy feels like she needs to create an account as well.;bandwagon
275;Marcus wants to go to a small community college close to home, but most of the kids in his class are applying to larger colleges out of state. Marcus decides that he should also apply to those colleges.;bandwagon
276;America has to act now to reduce illegal immigration. Recent studies show that the vast majority of Americans think that illegal immigration is a problem.;bandwagon
277;"In the court trial deliberations, Juror Seven says, ""There are still eleven of us who think he's guilty. You're alone."" His attempt to use numbers to persuade Eight is: ""If everyone believes it, you should too.""";bandwagon
278;"An influencer posts on Instagram that the restaurant ""EP is poppin'! Everyone worth knowing is here tonight - come on down!"" -- this is an example of:";bandwagon
279;Officer, I was only driving as fast as everyone around me. You can't give me a ticket for doing what every other driver on the road was also doing.;bandwagon
280;God must exist because every culture has some sort of belief in a higher being.;bandwagon
281;Matthew: Everyone believes that teachers get paid enough for the job they do. Therefore, it must be true.;bandwagon
282;Get Verizon--1 billion people can't be wrong.;bandwagon
283;"Dave wants you to break into the spooky cabin with him. ""Everyone does it"", he claims.";bandwagon
284;"""A 2005 Gallup Poll found that an estimated 25% of Americans over the age of 18 believe in astrology - or that the position of the stars and planets can affect people's lives. This is roughly 75,000,000 people. Therefore, there must be some truth to astrology!""";bandwagon
285;The majority of people believe advertisers should spend more money on billboards, so billboards are objectively the best form of advertisement.;bandwagon
286;Everyone I know is making fruit smoothies for quick, portable meals, so smoothies must be really good for you.;bandwagon
287;An increasing number of people are keeping ferrets as pets, so they must make wonderful companion animals.;bandwagon
288;Last week, the Cowboys played the Texans in Houston. Mrs. Gibson was excited to go to the game because she is a huge Cowboys fan. Because everyone in Houston cheers for the Texans, Mrs. Gibson decided to cheer for the Texans too.;bandwagon
289;Aliens must exist because most people believe in them.;bandwagon
290;Shamus pointed a drunken finger at Sean and asked him to explain how so many people could believe in leprechauns if they're only a silly old superstition. Sean, however, had had a few too many Guinness himself and fell off his chair.;bandwagon
291;"""Don't listen to Mr. Fingers when he says walk in the hallways. How can you trust someone who wears bow ties?""";ad hominem
292;"""I can't trust that doctor's advice on how to raise my child. He has never been a mother.";ad hominem
293;My opponent raises a good point, but can we really trust him? I mean, he moved to this town only two years ago and everyone knows that his wife left him.;ad hominem
294;Oh, please. What would you know about labor laws? You dont even have a job.;ad hominem
295;"""The Senator must be wrong on the issue of taxes because he's such a jerk to the people who work for him.""";ad hominem
296;You never even finished law school, so why should I trust you to watch my children?;ad hominem
297;Only a selfish, non-caring person would believe that this is ok.;ad hominem
